"First Name","Last Name","Date of Birth","Email","Student Id","Grade","Sex Assigned at Birth"
"vijay","k","2002-05-25","vijay@gmail.com","9874rt6","Third Grade","Male"
"Mohan","Krishna","1998-05-25","mohan@gmail.com","789yt6","First Grade","Male"
"Tony","ganesh","2002-05-25","tony@gmail.com","15E91A0360","Twelth Grade","Male"
"dfsg","dfsg","2023-04-14","dfsg@gmail.com","dsf","kindergarten","Female"
"xelp_student","Student6","2022-05-25","xelp_student6@gmail.com","2314891223","A","female"
"radhika","G","2001-01-25","radhika12341@gmail.com","444w12","1","female"
"xelp_student","Student2","2022-05-25","xelp_student2@gmail.com","5874695123","A","female"
"Yash","Y","2002-05-25","yash@gmail.com","87904r5","Ninth Grade","Male"
"xelp_student","Student5","2022-05-25","xelp_student5@gmail.com","6547891223","A","female"
"kanth","kanth4875@","2002-05-25","kanth4875@gmail.com","kanth4875","Sixth Grade","Male"
"radhika","G","4444-04-03","radhika123412@gmail.com","1234567890","1","female"
"xelp_student","Student10","2022-05-25","xelp_student10@gmail.com","9875642318","A","female"
"geetha","j","2002-05-25","geetha@gmail.com","7845k9","Sixth Grade","Male"
"Student 1","2","2022-06-25","stu1@gmail.com ","190031006","A","female"
"kaja","shaik","2012-06-20","kaja@gmail.com","23124","Third Grade","Male"
"Thandava","Y","2002-05-25","Thandava@gmail.com","123qw2","Ninth Grade","Male"
"radhikaaa","b","4444-04-06","radhikaa12345@gmail.com","444w13","1","female"
"xelp_student","Student8","2022-05-25","xelp_student8@gmail.com","123457896","A","female"
"xelp","moc","2022-06-25","kishore@gmail.com","191001022","A","female"
"aswe","fdfdd","2023-04-07","aswe@gmail.com","1543454","kindergarten","Male"
"vamsiVan","dsfsf","2023-04-15","vamsivan@gmail.com","12w3e455","Fifth Grade","Male"
"chandhramuki","muki","2023-04-20","chandhramuki@gmail.com","13E91A0","Second Grade","Female"
"xelp_student","Student9","2022-05-25","xelp_student9@gmail.com","8794561235","A","female"
"xelp_student","Student3","2022-05-25","xelp_student3@gmail.com","456789123","A","female"
"hemanth","k","2002-05-25","h@gmail.com","12aw12","Eighth Grade","Male"
"xelp_student","Student7","2022-05-25","xelp_student7@gmail.com","2325842123","A","female"
"avakai","biryani","2022-05-25","xelp12student4@gmail.com","2549812153","A","female"
"xelp_student","Student1","2022-05-25","xelp_student1@gmail.com","123456789","A","female"
"ravichandhra","AswinEdited","2002-05-25","rfed@gmail.com","rfed","Second Grade","Female"
