"First Name","Last Name","Date of Birth","Email","Student Id","Grade","Sex Assigned at Birth","Login Status","Parent Email 1","Parent Email 2"
"bvxcygds","jhasctudv","2023-05-18","jhvg@gmail.com","544","8","Male","Active","",""
"John","S","2022-08-02","john@gmail.com","1804","10","M","Inactive","",""
"anjali","r","1997-04-18","manasadevi4848@gmail.com","2222435435","A","F","Inactive","",""
"Naresh","Kumar","1998-12-09","","456","A","M","Inactive","",""
"sweety","m","1997-04-18","test12@gmail.com","656778","A","M","Inactive","",""
"rani","c","2023-05-15","cdcdzsfd@gmail.com","trhrh","3","Female","Active","",""
"Susan","AStudent4","2006-01-15","name@email.com","AS00004","8","F","Inactive","name@email.com","name@email.com"
"krish","n","2018-01-28","adhwhd@gmail.com","t4523","6","Male","Active","",""
"Gayathri","S","2020-10-01","s@gmail.com","jkljkl","A","F","Inactive","",""
"John","AStudent1","2007-01-15","name@email.com","AS00001","10","M","Inactive","nasdfme@email.com","namsae@email.com"
"raghu","r","1997-04-18","","2522","A","M","Inactive","",""
"anjali","r","1997-04-18","test@gmail.com","35435","A","F","Inactive","",""
"hari","das","2023-05-10","hari@gmail.com","125566","4","Male","Active","",""
"anumulla","kumar","2023-05-10","asdf@gmail.com","2134","KG","Male","Active","",""
"Steve","BStudent2","2006-01-15","name@email.com","BS00002","8","M","Inactive","name@email.com","name@email.com"
"Nikil","A","1998-12-09","","12w3e","A","M","Inactive","",""
"Gopi","Sunkara","2002-12-09","","123RT","A","M","Inactive","",""
"John","CStudent1","2007-01-15","name@email.com","CS00001","7","M","Inactive","name@email.com","name@email.com"
"madhav","r","2009-05-22","rock56@gmail.com","787867667676778","10","Male","Active","",""
"charan","r","1997-04-18","test112@gmail.com","999000099","B","m","Inactive","",""
